页码,微博id,用户昵称,发布时间,转发数,评论数,点赞数,微博内容,图片链接,网页链接
1,3355022196831553,白鲸新闻,2011年09月07日 16:11,2,1,0,#青岛微新闻# 岛城今后若遭遇旱情，再也不用四处求援找飞机了。记者昨从市人工影响天气办公室独家获悉，岛城已初步确定采用运8飞机，并对其实施改装，今后专驻岛城实施人工增雨，由此岛城也将成为全省首个拥有专门人工增雨作业飞机的城市。（青岛晚报） ​,https://ww2.sinaimg.cn/orj360/88aadf75tw1dkww3506ffj.jpg,https://s.weibo.com/weibo/%23%E9%9D%92%E5%B2%9B%E5%BE%AE%E6%96%B0%E9%97%BB%23
1,3355782351882216,你的初中的同学,2011年09月09日 18:32,0,0,0,请问一下张雷同志，中秋期间，北海市合浦县白沙镇的天气如何？ //@张雷mywtv:9月7日以来，桂林、柳州、河池、百色、南宁和玉林6市的29县（区）的人工影响天气办公室成功抓住有利的天气时机，实施火箭人工增雨作业38次，作业后影响区内增雨效果明显。,无图片,//weibo.com/n/%E5%BC%A0%E9%9B%B7mywtv
1,3356066243710042,贵阳晚报官方微博,2011年09月10日 13:20,2,3,0,针对全省旱情发展的严峻趋势，9月8日上午至9日凌晨，贵州省人工影响天气部门，抓住有利天气时机，展开飞机、大炮、火箭“空地”立体增雨作业，共催下甘霖3.6亿吨，局部旱情得到暂时的、一定程度的缓解。O网页链接 ​,无图片,http://t.cn/aBbC6Y
1,3358259142505195,中华粮网,2011年09月16日 14:33,0,0,0,【西南旱区干旱持续 做好抢收抢种田间管理】预计未来十天，西南旱区大部没有明显降雨。建议相关地区和部门继续加强抗旱减灾工作，保证群众生活用水；抓住有利气象条件，加大人工增雨作业力度；做好旱区秋收秋种及森林防火工作。O网页链接 ​,无图片,http://t.cn/arSg4D
1,3360119175465017,封面新闻,2011年09月21日 17:45,11,10,0,【重庆永川：天降“火箭弹” 砸进农家院 拍戏呢？增雨的!】天上突然掉下一枚“火箭弹”，不偏不倚正好砸在院坝中，这让家住永川区南大街兴隆村峨眉3小组的刘学美虚惊一场。原来，这是一枚人工增雨弹。昨日上午，气象部门相关工作人员赶到刘学美家，将“火箭弹”带走。@华龙网 ​,https://ww1.sinaimg.cn/orj360/593793e5jw1dld5gu0rkjj.jpg,//weibo.com/n/%E5%8D%8E%E9%BE%99%E7%BD%91
1,3360006011976970,用户1866428772,2011年09月21日 10:15,0,0,0,#信周刊#“打不湿”的古蔺还将“渴”到明年 古蔺境内，在土城，最高降雨量19.5毫米；在桂花乡，最低降雨量只有0.3毫米，“这还是飞机人工增雨作业后的效果。”看完这组降雨量监测数据，古蔺县气象局副局长梁茂勇眉头紧皱。他分析说，这样下去，古蔺还将继续“喊渴”，有可能要等到明年4月！ ​,无图片,https://s.weibo.com/weibo/%23%E4%BF%A1%E5%91%A8%E5%88%8A%23
1,3359982126858533,cqpeaker,2011年09月21日 08:40,0,0,0,家门口掉下个“火箭弹” 原是人工增雨剩下的 | 永川区气象局，增雨弹残骸已经被气象局工作人员带回　　9月9日，大概上午10点多钟，砰的一声巨响，把永川区南大街办事处兴隆村的不少人都吓了一跳。 　　 O网页链接 ​,https://ww2.sinaimg.cn/orj360/724a512bjw1dlcpq7sks3j.jpg,http://t.cn/adjFQU
1,3368397641596428,指点12-zhidian12,2011年10月14日 14:00,0,0,0,#指点12 津城气象# 昨天清晨，受高空槽和冷空气的共同影响，天津迎来进入10月以来首次大范围的降雨，这场降雨让整个津城充满凉意。降雨过程中，人工增雨约1000万立方米。气象专家表示，虽然降雨天气系统已移出天津，但今明两天接踵而来的大风降温天气，仍使气温处于下降趋势，从下周开始气温将逐渐回升 ​,无图片,https://s.weibo.com/weibo/%23%E6%8C%87%E7%82%B912%20%E6%B4%A5%E5%9F%8E%E6%B0%94%E8%B1%A1%23
1,3370318033106551,寒武纪的幽灵,2011年10月19日 21:11,0,0,0,人工增雨//@我们爱讲冷笑话: 这个是。。。[挖鼻屎],https://ww4.sinaimg.cn/orj360/7cefdfa5jw1dm94d0id4lg.jpg,//weibo.com/n/%E6%88%91%E4%BB%AC%E7%88%B1%E8%AE%B2%E5%86%B7%E7%AC%91%E8%AF%9D
1,3370271820455197,共同努力网,2011年10月19日 18:08,1,0,0,人工增雨助力石羊河流域治理——提前实现水量下泄目标 民勤地下水位大面积回升 O网页链接 ​,无图片,http://t.cn/SvfFJC
1,3378223838734021,用户2052976637,2011年11月10日 16:46,2,1,0,【我市实施人工增雨旱情缓解】最近两天来，我市先后发射8枚增雨火箭弹后，我市不时出现滂沱大雨，旱情有效缓解。自前天上午8时至昨天下午2时，中心城区观测站录得降雨量74.9毫米，潮阳观测站73.4毫米，澄海观测站49.6毫米，南澳观测站42.1毫米。O网页链接 ​,无图片,http://t.cn/Sw6HYE
1,3378092003437709,江南都市网,2011年11月10日 08:02,0,0,0,我国首次开展跨省跨空域飞机人工增雨作业 | 以往赣粤闽三地实行飞机人工增雨，都是根据各自天气条件“单打独斗”，这一情况已成为历史。记者昨日从省人工影响天气领导小组办公室获悉，本月6日至7日，赣粤闽跨省（空域）飞机人工增雨作业协调 O网页链接 ​,无图片,http://t.cn/Sw5Y5a
1,3378462886727012,延边信息港,2011年11月11日 08:36,0,0,0,【我州将投入600万开展人工增雨增雪】延边信息港，延边新闻，今年以来，我州降水异常偏少，降水量创有气象记录以来最低值，出现了罕见的四季连旱，属特旱年份。为了缓解旱情，州政府决定从今年开始，在全州范围内开展常态化的人工增雨增雪工作。O网页链接 ​,https://ww2.sinaimg.cn/orj360/792e7906jw1dmzo7pq8uyj.jpg,http://t.cn/SwOXSF
1,3379289506449840,平潭岛网,2011年11月13日 15:21,0,0,0,连日降雨缓解平潭旱情 气象局抓住时机实施人工增雨 O网页链接 11月7日开始的降雨对平潭来说无疑是“雪中送炭”。截至10月10日11时，平潭中楼、芦洋、流水、白青等五个乡镇累积降水已超过100毫米，其中以中楼218毫米最大。次此降雨也为平潭母亲湖——三十六脚湖增水量约12万立方米。[ ​,无图片,http://t.cn/SAc6c1
1,3379170857514574,用户2083980611,2011年11月13日 07:29,1,3,0,连日降雨缓解平潭旱情 气象局抓住时机实施人工增雨 | 本报讯（记者 郑旭光）近日，记者从平潭气象局了解到，11月7日开始的降雨对平潭来说无疑是“雪中送炭”。截至10月10日11时，平潭中楼、芦洋、流水、白青等五个乡镇累积降水已超过100毫 O网页链接 ​,无图片,http://t.cn/SAc6c1
